Route,Factory,State/Province,Region,Shipments,Total_Sales,Total_Profit,Avg_Order_Value,Avg_Fulfillment_Days,Avg_Transit_Days,Avg_Total_Lead_Time,Avg_Distance_Miles,On_Time_Shipments,Profit_Margin_Pct,On_Time_Rate_Pct,Transit_Speed_Miles_Per_Day,Speed_Score,Efficiency Score,Is_Reliable
Lot's O' Nuts -> Kentucky,Lot's O' Nuts,Kentucky,Gulf,77,1039.13,715.73,13.495194805194807,2.6493506493506493,4.324675324675325,6.974025974025974,1558.1,2,68.87781124594612,2.5974025974025974,223.4147113594041,37.402223366970915,37.98,True
Lot's O' Nuts -> Louisiana,Lot's O' Nuts,Louisiana,Gulf,24,283.71000000000004,197.31,11.821250000000001,2.375,3.1666666666666665,5.541666666666667,1170.0,16,69.54636776990588,66.66666666666666,211.12781954887217,35.20523842065552,56.66,True
Lot's O' Nuts -> Maine,Lot's O' Nuts,Maine,Atlantic,6,71.23,49.03,11.871666666666668,3.1666666666666665,7.166666666666667,10.333333333333334,2393.1,0,68.83335673171416,0.0,231.59032258064514,38.8640816674239,37.69,True
Lot's O' Nuts -> Manitoba,Lot's O' Nuts,Manitoba,Interior,2,18.0,12.0,9.0,1.0,3.5,4.5,1577.0,0,66.66666666666666,0.0,350.44444444444446,60.11605658255087,44.37,False
Lot's O' Nuts -> Maryland,Lot's O' Nuts,Maryland,Atlantic,60,812.74,567.54,13.545666666666667,2.6666666666666665,5.15,7.816666666666666,1988.4,3,69.83045008243718,5.0,254.37953091684437,42.938956617503536,40.97,True
Lot's O' Nuts -> Massachusetts,Lot's O' Nuts,Massachusetts,Atlantic,76,1003.24,690.54,13.200526315789475,2.5526315789473686,5.184210526315789,7.7368421052631575,2273.5,4,68.83098760017543,5.263157894736842,293.8537414965987,49.99723040624702,43.17,True
Lot's O' Nuts -> Michigan,Lot's O' Nuts,Michigan,Interior,147,2103.76,1450.86,14.311292517006803,2.6802721088435373,4.340136054421769,7.020408163265306,1637.0,9,68.96509107502756,6.122448979591836,233.17732558139537,39.14784925943744,39.68,True
Lot's O' Nuts -> Minnesota,Lot's O' Nuts,Minnesota,Interior,43,561.21,388.81,13.051395348837211,3.1627906976744184,3.86046511627907,7.023255813953488,1297.0,24,69.28066142798596,55.81395348837209,184.67218543046357,30.47478007531947,51.66,True
Lot's O' Nuts -> Mississippi,Lot's O' Nuts,Mississippi,Gulf,30,448.43,312.33,14.947666666666667,2.8333333333333335,3.433333333333333,6.266666666666667,1280.4,17,69.64966661463328,56.666666666666664,204.31914893617022,33.987798968010196,53.27,True
Lot's O' Nuts -> Missouri,Lot's O' Nuts,Missouri,Interior,36,514.08,359.08,14.280000000000001,2.5833333333333335,3.3333333333333335,5.916666666666667,1156.5,21,69.84905073140366,58.333333333333336,195.46478873239437,32.40457545005951,53.29,True
Lot's O' Nuts -> Montana,Lot's O' Nuts,Montana,Pacific,8,92.61,64.01,11.57625,3.5,3.0,6.5,972.5,8,69.11780585249974,100.0,149.6153846153846,24.206371038732396,62.66,True
Lot's O' Nuts -> Nebraska,Lot's O' Nuts,Nebraska,Interior,23,295.28000000000003,205.38,12.838260869565218,2.5652173913043477,2.608695652173913,5.173913043478261,935.8,23,69.55432132213491,100.0,180.8689075630252,29.79472653938336,64.77,True
Lot's O' Nuts -> Nevada,Lot's O' Nuts,Nevada,Pacific,24,389.21000000000004,268.11,16.217083333333335,2.875,1.625,4.5,478.3999999999999,24,68.88569152899463,100.0,106.31111111111109,16.463254352503913,59.87,True
Lot's O' Nuts -> New Brunswick,Lot's O' Nuts,New Brunswick,Atlantic,4,97.72,69.72,24.43,4.0,7.25,11.25,2545.4,0,71.34670487106017,0.0,226.2577777777778,37.91058416471049,38.24,False
Lot's O' Nuts -> New Hampshire,Lot's O' Nuts,New Hampshire,Atlantic,13,178.02,123.02,13.693846153846154,2.5384615384615383,5.3076923076923075,7.846153846153846,2277.7,0,69.10459498932704,0.0,290.2950980392157,49.360919268675794,41.46,True
Lot's O' Nuts -> New Jersey,Lot's O' Nuts,New Jersey,Atlantic,65,825.88,567.98,12.705846153846153,2.8615384615384616,5.6461538461538465,8.507692307692308,2112.3,0,68.77270305613406,0.0,248.28119349005428,41.8485298659043,38.72,True
Lot's O' Nuts -> New Mexico,Lot's O' Nuts,New Mexico,Pacific,18,260.71,179.41,14.483888888888888,3.111111111111111,1.8333333333333333,4.944444444444445,344.3,18,68.81592574124507,100.0,69.63370786516855,9.905069903267924,57.55,True
Lot's O' Nuts -> New York,Lot's O' Nuts,New York,Atlantic,645,8757.81,6055.01,13.578,2.663565891472868,5.296124031007752,7.95968992248062,2098.7,31,69.13840332229177,4.8062015503875966,263.66604986365405,44.59945323816438,41.25,True
Lot's O' Nuts -> Newfoundland and Labrador,Lot's O' Nuts,Newfoundland and Labrador,Atlantic,6,162.0,112.5,27.0,4.0,8.0,12.0,2980.5,0,69.44444444444444,0.0,248.375,41.86530314700705,38.96,True
Lot's O' Nuts -> North Carolina,Lot's O' Nuts,North Carolina,Gulf,143,2045.6100000000001,1417.01,14.304965034965036,2.7552447552447554,4.370629370629371,7.125874125874126,1827.1,9,69.27077986517467,6.293706293706294,256.40363101079487,43.30088032488355,41.29,True
Lot's O' Nuts -> North Dakota,Lot's O' Nuts,North Dakota,Interior,5,57.160000000000004,39.66,11.432,3.0,3.4,6.4,1190.2,2,69.38418474457661,40.0,185.96875,30.7066151793574,47.03,True
Lot's O' Nuts -> Ohio,Lot's O' Nuts,Ohio,Atlantic,262,3472.7400000000002,2400.24,13.254732824427482,2.33206106870229,4.0038167938931295,6.33587786259542,1680.8,27,69.1166053318129,10.305343511450381,265.28289156626505,44.88855620545563,42.99,True
Lot's O' Nuts -> Oklahoma,Lot's O' Nuts,Oklahoma,Interior,41,569.4,395.0,13.88780487804878,2.7560975609756095,2.6097560975609757,5.365853658536586,866.9000000000001,39,69.371268001405,95.1219512195122,161.55863636363637,26.341910661411656,62.04,True
Lot's O' Nuts -> Ontario,Lot's O' Nuts,Ontario,Atlantic,28,348.32,239.22,12.44,2.892857142857143,4.5,7.392857142857143,1839.0,0,68.67822691777677,0.0,248.75362318840578,41.93300370611349,38.71,True
Lot's O' Nuts -> Oregon,Lot's O' Nuts,Oregon,Pacific,77,1085.9,751.6,14.102597402597404,2.961038961038961,2.7662337662337664,5.7272727272727275,978.4000000000001,70,69.21447647112994,90.9090909090909,170.83174603174604,28.000009606248604,61.3,True
Lot's O' Nuts -> Pennsylvania,Lot's O' Nuts,Pennsylvania,Atlantic,331,4338.55,2993.65,13.107401812688822,2.7583081570996977,5.262839879154079,8.021148036253777,1972.2999999999997,7,69.0011639833585,2.1148036253776437,245.887495291902,41.42051934961937,39.28,True
Lot's O' Nuts -> Prince Edward Island,Lot's O' Nuts,Prince Edward Island,Atlantic,6,78.1,54.9,13.016666666666666,3.3333333333333335,8.0,11.333333333333334,2689.5,0,70.29449423815622,0.0,237.30882352941174,39.886590914975145,38.56,True
Lot's O' Nuts -> Quebec,Lot's O' Nuts,Quebec,Atlantic,24,242.93,165.83,10.122083333333334,2.6666666666666665,5.666666666666667,8.333333333333334,2336.2,4,68.26246243773927,16.666666666666664,280.34399999999994,47.58159110915493,45.55,True
Lot's O' Nuts -> Rhode Island,Lot's O' Nuts,Rhode Island,Atlantic,30,353.76,242.86,11.792,2.2333333333333334,5.0,7.233333333333333,2272.7,0,68.65106286748079,0.0,314.1981566820276,53.63495869369442,42.8,True
Lot's O' Nuts -> South Carolina,Lot's O' Nuts,South Carolina,Gulf,21,281.32,194.92000000000002,13.396190476190476,2.3333333333333335,4.0,6.333333333333333,1773.2000000000003,2,69.28764396416892,9.523809523809524,279.97894736842113,47.51631706356562,43.74,True
Lot's O' Nuts -> South Dakota,Lot's O' Nuts,South Dakota,Interior,9,117.59,82.09,13.065555555555555,3.111111111111111,3.3333333333333335,6.444444444444445,1029.9,7,69.81035802364147,77.77777777777779,159.81206896551726,26.029611803363288,56.88,True
Lot's O' Nuts -> Tennessee,Lot's O' Nuts,Tennessee,Gulf,109,1361.56,941.76,12.49137614678899,2.761467889908257,3.743119266055046,6.504587155963303,1440.7000000000003,63,69.16771938071037,57.798165137614674,221.48984485190414,37.058043341147034,54.52,True
Lot's O' Nuts -> Texas,Lot's O' Nuts,Texas,Interior,569,7642.34,5278.34,13.431177504393673,2.750439367311072,2.6520210896309315,5.402460456942004,841.5,523,69.06706584632457,91.91564147627417,155.76236174365647,25.30549492005301,60.61,True
Lot's O' Nuts -> Utah,Lot's O' Nuts,Utah,Pacific,29,393.91,270.11,13.583103448275862,2.7241379310344827,2.0344827586206895,4.758620689655173,502.2,28,68.57150110431317,96.55172413793103,105.53478260869565,16.324441212492346,58.68,True
Lot's O' Nuts -> Vermont,Lot's O' Nuts,Vermont,Atlantic,5,103.19,72.39,20.637999999999998,3.8,6.0,9.8,2225.0,0,70.15214652582615,0.0,227.0408163265306,38.05059710944237,37.87,True
Lot's O' Nuts -> Virginia,Lot's O' Nuts,Virginia,Gulf,109,1538.84,1059.24,14.117798165137614,2.63302752293578,4.91743119266055,7.5504587155963305,1913.2999999999997,2,68.8336669179382,1.834862385321101,253.40182260024298,42.764135313093625,39.61,True
Lot's O' Nuts -> Washington,Lot's O' Nuts,Washington,Pacific,269,3492.91,2415.91,12.984795539033456,2.646840148698885,2.7695167286245352,5.41635687732342,1124.9,240,69.16611077869169,89.21933085501858,207.68572409059715,34.58976690660436,63.08,True
Lot's O' Nuts -> West Virginia,Lot's O' Nuts,West Virginia,Atlantic,2,38.72,27.42,19.36,2.0,3.0,5.0,1763.4,1,70.81611570247934,50.0,352.68,60.51579005281691,60.97,False
Lot's O' Nuts -> Wisconsin,Lot's O' Nuts,Wisconsin,Interior,58,768.25,531.95,13.245689655172415,2.7586206896551726,3.5689655172413794,6.327586206896552,1424.8,32,69.24178327367395,55.172413793103445,225.17275204359672,37.71657373138696,53.99,True
Lot's O' Nuts -> Wyoming,Lot's O' Nuts,Wyoming,Pacific,1,13.96,9.96,13.96,4.0,3.0,7.0,724.2,1,71.34670487106017,100.0,103.45714285714287,15.952944227867208,60.55,False
Secret Factory -> Alabama,Secret Factory,Alabama,Gulf,3,150.0,75.2,50.0,2.0,1.6666666666666667,3.6666666666666665,631.9,3,50.13333333333333,100.0,172.33636363636364,28.269046094750323,57.44,False
Secret Factory -> Alberta,Secret Factory,Alberta,Pacific,2,180.0,90.0,90.0,3.5,4.0,7.5,1472.2,1,50.0,50.0,196.29333333333335,32.55272520539907,43.89,False
Secret Factory -> Arizona,Secret Factory,Arizona,Pacific,5,640.0,320.0,128.0,3.2,3.2,6.4,1256.4,0,50.0,0.0,196.3125,32.55615234375001,28.89,True
Secret Factory -> Arkansas,Secret Factory,Arkansas,Gulf,2,63.75,31.95,31.875,2.5,1.5,4.0,458.1,2,50.117647058823536,100.0,114.525,17.931956976232396,53.82,False
Secret Factory -> California,Secret Factory,California,Pacific,31,1238.75,620.55,39.95967741935484,2.4193548387096775,4.129032258064516,6.548387096774194,1602.7,2,50.09485368314833,6.451612903225806,244.74729064039408,41.216642527579275,33.89,True
Secret Factory -> Colorado,Secret Factory,Colorado,Pacific,7,171.25,103.85,24.464285714285715,1.8571428571428572,2.142857142857143,4.0,793.8,6,60.64233576642335,85.71428571428571,198.45,32.93835277288733,58.47,True
Secret Factory -> Connecticut,Secret Factory,Connecticut,Atlantic,1,2.5,1.3,2.5,1.0,2.0,3.0,919.8,1,52.0,100.0,306.59999999999997,52.276353433098585,66.5,False
Secret Factory -> Delaware,Secret Factory,Delaware,Atlantic,1,60.0,30.0,60.0,3.0,3.0,6.0,805.0,1,50.0,100.0,134.16666666666666,21.444028755868548,55.01,False
Secret Factory -> Florida,Secret Factory,Florida,Gulf,7,78.75,52.15,11.25,3.142857142857143,3.0,6.142857142857143,1070.2,4,66.22222222222221,57.14285714285714,174.2186046511628,28.605604374795284,50.33,True
Secret Factory -> Georgia,Secret Factory,Georgia,Gulf,7,317.5,159.1,45.357142857142854,2.7142857142857144,2.142857142857143,4.857142857142857,693.9,6,50.11023622047244,85.71428571428571,142.86176470588236,22.998775049192215,51.3,True
Secret Factory -> Illinois,Secret Factory,Illinois,Interior,13,546.25,273.65,42.01923076923077,2.230769230769231,1.5384615384615385,3.769230769230769,112.0,13,50.096109839816926,100.0,29.714285714285715,2.7671890719315897,48.5,True
Secret Factory -> Indiana,Secret Factory,Indiana,Interior,4,21.25,11.05,5.3125,3.0,1.75,4.75,251.3,4,52.0,100.0,52.90526315789474,6.913903238510008,50.62,False
Secret Factory -> Kentucky,Secret Factory,Kentucky,Gulf,2,46.25,23.25,23.125,2.0,1.0,3.0,408.2,2,50.27027027027027,100.0,136.06666666666666,21.78376247065728,55.22,False
Secret Factory -> Louisiana,Secret Factory,Louisiana,Gulf,2,11.25,5.85,5.625,3.0,2.0,5.0,713.7,2,52.0,100.0,142.74,22.977002640845072,56.24,False
Secret Factory -> Maryland,Secret Factory,Maryland,Atlantic,3,8.75,4.55,2.9166666666666665,2.6666666666666665,2.0,4.666666666666667,743.2999999999998,3,52.0,100.0,159.27857142857138,25.934218592806836,57.28,False
Secret Factory -> Massachusetts,Secret Factory,Massachusetts,Atlantic,2,100.0,50.0,50.0,2.0,2.5,4.5,979.3,2,50.0,100.0,217.6222222222222,36.36648449726135,60.23,False
Secret Factory -> Michigan,Secret Factory,Michigan,Interior,5,82.5,41.7,16.5,2.6,1.8,4.4,333.9,5,50.54545454545455,100.0,75.88636363636363,11.023089888764403,51.55,True
Secret Factory -> Minnesota,Secret Factory,Minnesota,Interior,1,5.0,2.6,5.0,3.0,1.0,4.0,337.6,1,52.0,100.0,84.4,12.54538952464789,52.59,False
Secret Factory -> Mississippi,Secret Factory,Mississippi,Gulf,1,80.0,40.0,80.0,3.0,2.0,5.0,603.4,1,50.0,100.0,120.67999999999999,19.03251540492958,54.16,False
Secret Factory -> Nebraska,Secret Factory,Nebraska,Interior,1,2.5,1.3,2.5,2.0,1.0,3.0,400.4,1,52.0,100.0,133.46666666666667,21.318863703051647,55.66,False
Secret Factory -> Nevada,Secret Factory,Nevada,Pacific,2,202.5,101.3,101.25,3.0,3.5,6.5,1415.5,0,50.02469135802469,0.0,217.76923076923077,36.39277068661973,30.25,False
Secret Factory -> New Hampshire,Secret Factory,New Hampshire,Atlantic,1,6.25,3.25,6.25,4.0,3.0,7.0,976.4,1,52.0,100.0,139.4857142857143,22.395112864688134,56.04,False
Secret Factory -> New Jersey,Secret Factory,New Jersey,Atlantic,2,6.25,3.25,3.125,3.0,3.0,6.0,840.8,2,52.0,100.0,140.13333333333333,22.510911825117372,56.08,False
Secret Factory -> New Mexico,Secret Factory,New Mexico,Pacific,2,12.5,6.5,6.25,1.5,2.0,3.5,964.7,2,52.0,100.0,275.62857142857143,46.738438443158955,64.56,False
Secret Factory -> New York,Secret Factory,New York,Atlantic,24,1026.25,514.45,42.760416666666664,2.625,2.5,5.125,804.7999999999998,21,50.12911084043849,87.5,157.03414634146338,25.532899186276193,52.73,True
Secret Factory -> North Carolina,Secret Factory,North Carolina,Gulf,4,20.0,10.4,5.0,2.5,1.75,4.25,706.0,4,52.0,100.0,166.11764705882354,27.157094682062972,57.7,False
Secret Factory -> Ohio,Secret Factory,Ohio,Atlantic,13,768.75,384.95,59.13461538461539,2.8461538461538463,1.8461538461538463,4.6923076923076925,413.6,11,50.074796747967476,84.61538461538461,88.14426229508197,13.214890650253984,47.54,True
Secret Factory -> Oregon,Secret Factory,Oregon,Pacific,2,180.0,90.0,90.0,2.0,3.5,5.5,1596.3,0,50.0,0.0,290.23636363636365,49.35041713348272,34.77,False
Secret Factory -> Pennsylvania,Secret Factory,Pennsylvania,Atlantic,19,762.5,382.9,40.13157894736842,2.789473684210526,1.9473684210526316,4.7368421052631575,698.1,17,50.21639344262295,89.47368421052632,147.3766666666667,23.80607210974179,52.75,True
Secret Factory -> Quebec,Secret Factory,Quebec,Atlantic,2,100.0,50.0,50.0,3.0,3.0,6.0,1121.1,2,50.0,100.0,186.85,30.864189040492963,58.3,False
Secret Factory -> Rhode Island,Secret Factory,Rhode Island,Atlantic,3,142.5,71.3,47.5,2.3333333333333335,2.3333333333333335,4.666666666666667,983.2000000000002,3,50.03508771929825,100.0,210.6857142857143,35.126186808350106,59.81,False
Secret Factory -> South Carolina,Secret Factory,South Carolina,Gulf,1,6.25,3.25,6.25,4.0,3.0,7.0,742.0,1,52.0,100.0,106.0,16.407625440140848,53.94,False
Secret Factory -> Tennessee,Secret Factory,Tennessee,Gulf,3,62.5,31.7,20.833333333333332,4.0,2.0,6.0,445.7,3,50.72,100.0,74.28333333333333,10.736456499413146,51.51,False
Secret Factory -> Texas,Secret Factory,Texas,Interior,16,517.5,268.7,32.34375,2.375,2.4375,4.8125,816.4,15,51.92270531400966,93.75,169.64155844155843,27.787195473980248,56.02,True
Secret Factory -> Utah,Secret Factory,Utah,Pacific,1,100.0,50.0,100.0,4.0,3.0,7.0,1114.7,1,50.0,100.0,159.24285714285716,25.92783262072435,56.57,False
Secret Factory -> Vermont,Secret Factory,Vermont,Atlantic,1,7.5,3.9,7.5,4.0,3.0,7.0,921.7,1,52.0,100.0,131.67142857142858,20.997862173038236,55.55,False
Secret Factory -> Virginia,Secret Factory,Virginia,Gulf,5,93.75,47.15,18.75,2.0,2.0,4.0,706.2,4,50.29333333333334,80.0,176.55,29.02247469190141,51.76,True
Secret Factory -> Washington,Secret Factory,Washington,Pacific,11,351.25,175.85,31.931818181818183,2.272727272727273,4.2727272727272725,6.545454545454546,1569.0,0,50.064056939501775,0.0,239.70833333333331,40.3156405883216,31.63,True
Secret Factory -> Wisconsin,Secret Factory,Wisconsin,Interior,5,415.0,207.8,83.0,3.2,1.6,4.8,200.8,4,50.0722891566265,80.0,41.833333333333336,4.934162265258216,43.25,True
Sugar Shack -> Arizona,Sugar Shack,Arizona,Pacific,1,11.25,6.75,11.25,3.0,4.0,7.0,1268.8,1,60.0,100.0,181.25714285714284,29.864145812374243,61.45,False
Sugar Shack -> California,Sugar Shack,California,Pacific,1,6.0,2.8,6.0,2.0,3.0,5.0,1452.9,1,46.666666666666664,100.0,290.58000000000004,49.411861795774655,63.63,False
Sugar Shack -> Connecticut,Sugar Shack,Connecticut,Atlantic,1,3.98,2.48,3.98,3.0,4.0,7.0,1226.6,1,62.311557788944725,100.0,175.22857142857143,28.786193724849095,61.88,False
Sugar Shack -> Delaware,Sugar Shack,Delaware,Atlantic,1,4.5,2.1,4.5,3.0,4.0,7.0,1192.6,1,46.666666666666664,100.0,170.37142857142857,27.91770152162978,56.1,False
Sugar Shack -> Florida,Sugar Shack,Florida,Gulf,3,36.89,22.64,12.296666666666667,3.6666666666666665,5.0,8.666666666666666,1606.7,0,61.37164543236649,0.0,185.38846153846157,30.602855413732406,32.19,False
Sugar Shack -> Illinois,Sugar Shack,Illinois,Interior,2,12.0,6.3,6.0,1.5,1.5,3.0,643.6,2,52.5,100.0,214.53333333333333,35.814168867370896,60.91,False
Sugar Shack -> Michigan,Sugar Shack,Michigan,Interior,3,17.740000000000002,10.09,5.913333333333334,2.3333333333333335,2.0,4.333333333333333,651.0,3,56.8771138669673,100.0,150.23076923076925,24.316406250000007,58.42,False
Sugar Shack -> New Jersey,Sugar Shack,New Jersey,Atlantic,1,5.97,3.72,5.97,3.0,5.0,8.0,1195.5,0,62.311557788944725,0.0,149.4375,24.174563985475356,30.27,False
Sugar Shack -> New York,Sugar Shack,New York,Atlantic,9,56.97,29.12,6.33,2.5555555555555554,2.888888888888889,5.444444444444445,1109.0,9,51.11462173073548,100.0,203.6938775510204,33.8759959309428,59.75,True
Sugar Shack -> Ohio,Sugar Shack,Ohio,Atlantic,2,18.46,9.86,9.23,2.0,2.0,4.0,850.0,2,53.412784398699884,100.0,212.5,35.45059419014085,61.1,False
Sugar Shack -> Pennsylvania,Sugar Shack,Pennsylvania,Atlantic,3,24.23,14.43,8.076666666666666,3.3333333333333335,3.0,6.333333333333333,1067.8,3,59.554271564176645,100.0,168.6,27.60095730633803,60.5,False
Sugar Shack -> Rhode Island,Sugar Shack,Rhode Island,Atlantic,1,4.5,2.1,4.5,3.0,4.0,7.0,1279.9,1,46.666666666666664,100.0,182.84285714285716,30.147682972837025,56.89,False
Sugar Shack -> Tennessee,Sugar Shack,Tennessee,Gulf,1,1.5,0.6,1.5,2.0,2.0,4.0,982.4,1,40.0,100.0,245.6,41.369113116197184,58.48,False
Sugar Shack -> Texas,Sugar Shack,Texas,Interior,3,15.0,7.0,5.0,2.6666666666666665,4.0,6.666666666666667,1181.3,2,46.666666666666664,66.66666666666666,177.195,29.13780534771127,46.53,False
Sugar Shack -> Washington,Sugar Shack,Washington,Pacific,1,1.99,1.24,1.99,3.0,4.0,7.0,1171.3,1,62.311557788944725,100.0,167.32857142857142,27.373616700201207,61.39,False
The Other Factory -> Alabama,The Other Factory,Alabama,Gulf,2,35.75,2.75,17.875,3.5,2.0,5.5,242.3,2,7.6923076923076925,100.0,44.054545454545455,5.331331025928296,34.56,False
The Other Factory -> Arizona,The Other Factory,Arizona,Pacific,2,38.75,18.75,19.375,1.5,2.5,4.0,1224.5,2,48.38709677419355,100.0,306.125,52.191420004401415,65.2,False
The Other Factory -> California,The Other Factory,California,Pacific,21,233.75,33.75,11.130952380952381,2.3333333333333335,4.238095238095238,6.571428571428571,1663.7000000000003,1,14.43850267379679,4.761904761904762,253.17173913043484,42.72299472787815,21.44,True
The Other Factory -> Colorado,The Other Factory,Colorado,Pacific,2,19.5,1.5,9.75,2.5,2.5,5.0,887.0,2,7.6923076923076925,100.0,177.4,29.17446082746479,42.9,False
The Other Factory -> Connecticut,The Other Factory,Connecticut,Atlantic,2,9.75,0.75,4.875,2.5,3.0,5.5,1032.1,2,7.6923076923076925,100.0,187.65454545454543,31.00804757522407,43.55,False
The Other Factory -> Delaware,The Other Factory,Delaware,Atlantic,2,26.0,2.0,13.0,3.0,2.5,5.5,845.9,2,7.6923076923076925,100.0,153.79999999999998,24.954610475352112,41.43,False
The Other Factory -> Florida,The Other Factory,Florida,Gulf,3,39.0,3.0,13.0,1.6666666666666667,2.0,3.6666666666666665,704.0,3,7.6923076923076925,100.0,192.0,31.785046214788736,43.82,False
The Other Factory -> Georgia,The Other Factory,Georgia,Gulf,2,39.0,3.0,19.5,4.0,2.5,6.5,389.4,2,7.6923076923076925,100.0,59.9076923076923,8.165988116197182,35.55,False
The Other Factory -> Indiana,The Other Factory,Indiana,Interior,1,19.5,1.5,19.5,4.0,2.0,6.0,385.1,1,7.6923076923076925,100.0,64.18333333333334,8.930503594483568,35.82,False
The Other Factory -> Kentucky,The Other Factory,Kentucky,Gulf,2,26.0,2.0,13.0,0.5,1.0,1.5,343.4,2,7.6923076923076925,100.0,228.9333333333333,38.388992811032864,46.13,False
The Other Factory -> Louisiana,The Other Factory,Louisiana,Gulf,1,9.75,0.75,9.75,2.0,1.0,3.0,294.0,1,7.6923076923076925,100.0,98.0,14.977167693661976,37.93,False
The Other Factory -> Maryland,The Other Factory,Maryland,Atlantic,1,3.25,0.25,3.25,3.0,3.0,6.0,774.4,1,7.6923076923076925,100.0,129.06666666666666,20.532111942488264,39.88,False
